ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
438,24.0,2,2.5,0.5,0.0,105.8,0.1669999999999999,0.0,0.158,0.727,0.0,1,3,242
438,25.0,39,6.1,1.1,0.6,-4.2,0.011,0.073,0.179,0.597,0.074,2,3,242
438,26.0,68,10.6,3.0,1.4,5.6,0.016,0.1119999999999999,0.177,0.614,0.086,3,3,242
125,28.0,71,15.2,2.6,1.9,-0.5,0.0279999999999999,0.078,0.254,0.574,0.13,1,3,77
125,29.0,68,18.4,4.0,2.5,7.8,0.025,0.1169999999999999,0.286,0.5489999999999999,0.149,2,3,77
125,30.0,79,16.0,3.5,2.5,8.7,0.03,0.091,0.258,0.532,0.144,3,3,77
414,35.0,53,8.0,4.6,1.7,-0.3,0.022,0.1369999999999999,0.1169999999999999,0.593,0.081,1,3,226
414,36.0,30,9.4,4.8,1.8,2.8,0.033,0.15,0.149,0.542,0.089,2,3,226
414,37.0,24,4.0,3.4,1.1,-5.3,0.02,0.151,0.11,0.449,0.079,3,3,226
359,28.0,68,15.1,13.5,1.5,6.2,0.104,0.276,0.162,0.6990000000000001,0.065,1,3,203
359,29.0,71,14.3,13.5,1.3,15.9,0.11,0.288,0.166,0.6829999999999999,0.059,2,3,203
359,30.0,66,15.6,14.7,1.1,9.6,0.114,0.312,0.166,0.732,0.052,3,3,203
439,28.0,74,9.1,5.2,1.2,3.4,0.054,0.136,0.134,0.605,0.065,1,3,243
439,29.0,50,7.1,5.2,1.4,4.6,0.035,0.151,0.103,0.606,0.066,2,3,243
439,30.0,59,7.0,5.9,1.2,3.9,0.047,0.182,0.131,0.537,0.067,3,3,243
99,27.0,48,4.4,4.6,1.0,-7.1,0.089,0.144,0.1009999999999999,0.5660000000000001,0.079,1,3,60
99,28.0,67,7.2,5.8,1.3,-3.6,0.1009999999999999,0.138,0.133,0.552,0.085,2,3,60
99,29.0,55,4.5,4.3,1.0,-0.1,0.1119999999999999,0.128,0.108,0.534,0.074,3,3,60
507,23.0,45,8.7,4.9,1.2,-4.2,0.063,0.2019999999999999,0.179,0.638,0.1,1,3,279
507,24.0,45,6.9,3.2,1.1,-7.9,0.035,0.149,0.178,0.58,0.107,2,3,279
507,25.0,63,9.0,3.7,1.4,-7.2,0.0409999999999999,0.19,0.2239999999999999,0.623,0.151,3,3,279
324,27.0,20,5.2,2.3,0.4,7.2,0.027,0.109,0.139,0.627,0.046,1,3,182
324,28.0,30,9.2,3.9,1.0,-1.3,0.055,0.108,0.163,0.557,0.07,2,3,182
324,29.0,46,5.1,3.3,0.8,-9.0,0.061,0.179,0.15,0.5670000000000001,0.085,3,3,182
526,27.0,24,2.4,3.0,0.3,-15.7,0.081,0.22,0.131,0.526,0.049,1,3,286
526,28.0,13,1.5,1.5,0.2,12.2,0.077,0.153,0.106,0.5670000000000001,0.032,2,3,286
526,29.0,3,2.0,2.0,0.0,-54.2,0.15,0.158,0.152,0.6,0.0,3,3,286
228,27.0,53,7.4,5.8,0.9,-6.6,0.1119999999999999,0.178,0.168,0.57,0.079,1,3,130
228,28.0,66,5.0,5.3,1.2,-8.9,0.094,0.15,0.113,0.574,0.087,2,3,130
228,29.0,36,5.8,4.6,0.6,5.6,0.1169999999999999,0.207,0.1669999999999999,0.596,0.064,3,3,130
309,26.0,36,6.8,2.1,1.2,-5.0,0.016,0.138,0.2289999999999999,0.511,0.147,1,3,170
309,27.0,62,6.5,3.2,1.7,1.0,0.022,0.168,0.19,0.479,0.144,2,3,170
309,28.0,24,2.9,1.8,0.5,-5.1,0.04,0.15,0.15,0.523,0.074,3,3,170
451,22.0,61,9.7,7.0,0.6,-2.9,0.122,0.16,0.129,0.726,0.039,1,3,248
451,23.0,31,8.3,8.1,0.5,-0.4,0.124,0.155,0.114,0.642,0.03,2,3,248
451,24.0,72,8.5,8.6,0.5,-2.1,0.145,0.171,0.11,0.722,0.032,3,3,248
143,23.0,22,9.0,3.0,1.6,2.5,0.027,0.128,0.214,0.547,0.125,1,3,84
143,24.0,62,13.4,4.1,2.3,-3.4,0.035,0.123,0.254,0.516,0.15,2,3,84
143,25.0,51,6.4,2.8,1.1,-8.6,0.025,0.149,0.196,0.491,0.105,3,3,84
315,23.0,12,1.7,1.6,0.2,-6.5,0.038,0.213,0.091,0.7440000000000001,0.039,1,3,175
315,24.0,63,6.0,3.4,1.2,-9.0,0.031,0.154,0.128,0.573,0.094,2,3,175
315,25.0,51,5.3,2.9,1.0,2.0,0.031,0.12,0.107,0.584,0.077,3,3,175
420,22.0,13,1.8,1.1,0.1,-9.8,0.103,0.148,0.15,0.741,0.031,1,3,231
420,23.0,32,4.9,3.0,0.5,-4.2,0.065,0.149,0.136,0.659,0.057,2,3,231
420,24.0,20,3.4,2.7,0.2,-7.5,0.08,0.2,0.127,0.643,0.021,3,3,231
289,33.0,68,8.0,3.3,1.3,6.4,0.03,0.1,0.135,0.552,0.069,1,3,159
289,34.0,69,9.5,3.8,1.7,7.1,0.0289999999999999,0.1,0.138,0.5820000000000001,0.08,2,3,159
289,35.0,62,5.9,2.5,1.0,3.0,0.025,0.091,0.121,0.561,0.065,3,3,159
159,21.0,62,8.6,4.3,1.6,-4.7,0.05,0.114,0.148,0.5529999999999999,0.089,1,3,93
159,22.0,59,5.4,2.6,1.1,-6.6,0.048,0.079,0.119,0.524,0.072,2,3,93
159,23.0,49,2.7,1.4,0.5,2.5,0.049,0.077,0.115,0.526,0.066,3,3,93
220,24.0,62,14.4,7.7,3.7,-1.2,0.05,0.181,0.205,0.516,0.165,1,3,125
220,25.0,50,12.4,5.7,3.2,2.1,0.055,0.15,0.204,0.547,0.165,2,3,125
220,26.0,75,15.0,5.9,2.5,6.2,0.057,0.129,0.1939999999999999,0.602,0.109,3,3,125
246,21.0,65,20.8,3.1,3.0,-9.2,0.0279999999999999,0.069,0.264,0.56,0.146,1,3,136
246,22.0,60,24.3,3.1,4.4,-9.2,0.027,0.063,0.286,0.573,0.222,2,3,136
246,23.0,11,16.0,3.3,2.1,-5.8,0.0409999999999999,0.066,0.264,0.523,0.125,3,3,136
165,24.0,18,6.2,2.1,1.3,0.8,0.03,0.086,0.152,0.595,0.122,1,3,97
165,25.0,53,5.0,2.7,1.3,-4.9,0.036,0.125,0.1639999999999999,0.465,0.123,2,3,97
165,26.0,60,9.2,3.8,1.1,5.7,0.054,0.114,0.158,0.611,0.068,3,3,97
271,30.0,61,14.9,4.6,5.4,11.8,0.025,0.121,0.233,0.5710000000000001,0.275,1,3,152
271,31.0,71,12.2,3.4,3.8,-1.8,0.013,0.1,0.181,0.5329999999999999,0.17,2,3,152
271,32.0,54,9.9,3.4,4.2,-1.2,0.02,0.105,0.198,0.514,0.251,3,3,152
48,34.0,59,16.2,3.2,5.1,3.5,0.017,0.09,0.248,0.573,0.297,1,3,27
48,35.0,50,13.4,3.4,4.4,1.5,0.019,0.107,0.239,0.552,0.26,2,3,27
48,36.0,21,7.5,3.1,4.1,0.4,0.027,0.104,0.166,0.474,0.2269999999999999,3,3,27
281,34.0,69,7.5,7.3,0.7,5.9,0.128,0.257,0.146,0.696,0.048,1,3,156
281,35.0,69,7.0,8.4,0.9,-2.4,0.148,0.309,0.173,0.61,0.076,2,3,156
281,36.0,60,6.2,5.9,0.6,-5.7,0.12,0.246,0.145,0.657,0.049,3,3,156
382,32.0,36,5.1,1.8,1.2,-3.1,0.0069999999999999,0.104,0.146,0.509,0.1169999999999999,1,3,213
382,33.0,46,9.6,1.8,1.5,-4.3,0.012,0.073,0.162,0.625,0.0969999999999999,2,3,213
382,34.0,43,6.7,1.8,0.7,-3.8,0.012,0.078,0.135,0.593,0.055,3,3,213
108,28.0,20,27.4,5.2,6.4,-0.4,0.032,0.12,0.318,0.595,0.331,1,3,67
108,29.0,54,26.9,4.8,6.0,5.6,0.0289999999999999,0.1009999999999999,0.297,0.614,0.2689999999999999,2,3,67
108,30.0,29,27.4,4.4,5.8,5.2,0.015,0.096,0.283,0.5920000000000001,0.235,3,3,67
82,20.0,50,10.0,3.2,2.2,-11.2,0.018,0.121,0.2019999999999999,0.535,0.147,1,3,49
82,21.0,26,16.6,3.8,6.3,-12.6,0.022,0.098,0.247,0.528,0.293,2,3,49
82,22.0,61,15.6,4.4,6.2,-6.7,0.022,0.111,0.239,0.531,0.302,3,3,49
49,25.0,42,3.7,2.6,0.4,-5.1,0.0579999999999999,0.1159999999999999,0.105,0.568,0.043,1,3,28
49,26.0,39,3.1,2.9,0.8,-7.7,0.044,0.125,0.0969999999999999,0.436,0.064,2,3,28
49,27.0,38,2.7,2.4,0.5,-2.1,0.057,0.174,0.11,0.547,0.067,3,3,28
312,28.0,73,6.9,3.8,3.3,1.7,0.04,0.124,0.14,0.5539999999999999,0.215,1,3,172
312,29.0,63,10.2,4.3,4.4,-3.5,0.036,0.122,0.163,0.562,0.237,2,3,172
312,30.0,77,4.4,2.9,2.4,2.8,0.035,0.1159999999999999,0.1009999999999999,0.5760000000000001,0.178,3,3,172
181,32.0,68,12.0,4.6,1.5,12.0,0.031,0.118,0.181,0.551,0.073,1,3,106
181,33.0,70,12.3,5.0,0.7,6.8,0.054,0.115,0.166,0.611,0.033,2,3,106
181,34.0,13,12.4,4.1,0.5,-1.4,0.0579999999999999,0.108,0.211,0.57,0.03,3,3,106
514,20.0,30,9.0,4.1,1.2,0.7,0.06,0.176,0.2339999999999999,0.505,0.106,1,3,284
514,21.0,70,11.2,4.6,1.0,-9.7,0.054,0.173,0.218,0.599,0.088,2,3,284
514,22.0,77,8.3,3.9,0.9,-2.4,0.074,0.161,0.209,0.588,0.091,3,3,284
447,32.0,47,14.4,3.2,4.4,2.1,0.024,0.083,0.223,0.537,0.236,1,3,246
447,33.0,51,16.2,3.5,6.0,16.7,0.024,0.0819999999999999,0.2239999999999999,0.589,0.303,2,3,246
447,34.0,72,13.7,3.0,5.3,7.7,0.023,0.079,0.2019999999999999,0.5720000000000001,0.281,3,3,246
195,23.0,10,2.0,0.4,0.2,33.9,0.04,0.048,0.231,0.472,0.077,1,3,113
195,24.0,9,4.4,1.9,1.0,-12.7,0.017,0.091,0.14,0.422,0.08,2,3,113
195,25.0,22,1.4,1.5,0.3,-3.6,0.067,0.088,0.105,0.346,0.045,3,3,113
498,26.0,44,12.3,8.1,1.0,1.2,0.1009999999999999,0.191,0.156,0.6809999999999999,0.05,1,3,273
498,27.0,61,14.2,8.3,1.7,0.3,0.081,0.196,0.173,0.669,0.0819999999999999,2,3,273
498,28.0,45,10.4,7.0,1.1,-5.8,0.0819999999999999,0.198,0.153,0.6890000000000001,0.068,3,3,273
350,24.0,33,3.6,1.6,1.7,-4.6,0.024,0.1009999999999999,0.218,0.37,0.24,1,3,198
350,25.0,17,0.1,0.3,0.1,-16.0,0.0,0.114,0.118,0.111,0.063,2,3,198
350,26.0,19,2.5,1.1,0.9,-12.4,0.012,0.124,0.138,0.5529999999999999,0.181,3,3,198
295,29.0,66,30.0,4.3,8.0,1.4,0.013,0.092,0.294,0.627,0.335,1,3,162
295,30.0,67,28.8,4.2,7.5,4.0,0.012,0.104,0.306,0.623,0.3339999999999999,2,3,162
295,31.0,29,24.0,4.1,7.3,-1.8,0.012,0.104,0.288,0.55,0.321,3,3,162
460,21.0,36,6.8,2.3,0.8,4.4,0.03,0.066,0.139,0.506,0.045,1,3,253
460,22.0,52,14.0,3.6,1.7,-7.2,0.023,0.092,0.218,0.513,0.09,2,3,253
460,23.0,51,17.2,4.2,1.7,-8.1,0.02,0.0969999999999999,0.228,0.541,0.087,3,3,253
360,22.0,48,13.5,6.1,1.8,-8.2,0.051,0.155,0.1889999999999999,0.535,0.088,1,3,204
360,23.0,57,13.8,5.5,1.4,-2.8,0.026,0.139,0.18,0.5489999999999999,0.062,2,3,204
360,24.0,42,11.3,3.8,1.1,-7.1,0.027,0.143,0.205,0.579,0.08,3,3,204
117,24.0,57,20.4,9.5,1.8,6.9,0.052,0.221,0.263,0.551,0.088,1,3,71
117,25.0,43,20.1,8.9,1.6,0.7,0.062,0.2189999999999999,0.259,0.5820000000000001,0.081,2,3,71
117,26.0,51,20.2,8.1,2.3,0.4,0.068,0.204,0.286,0.5770000000000001,0.133,3,3,71
84,20.0,65,6.4,2.8,0.9,-7.3,0.021,0.128,0.172,0.47,0.076,1,3,51
84,21.0,42,3.9,1.5,0.5,-3.5,0.02,0.1009999999999999,0.152,0.537,0.064,2,3,51
84,22.0,30,3.1,1.5,0.3,-15.1,0.055,0.127,0.187,0.491,0.077,3,3,51
184,25.0,8,10.9,3.9,3.0,23.1,0.023,0.131,0.182,0.612,0.182,1,3,108
184,26.0,60,8.4,2.4,3.6,7.8,0.016,0.119,0.193,0.602,0.281,2,3,108
184,27.0,58,10.8,3.0,4.9,6.3,0.018,0.109,0.235,0.5,0.318,3,3,108
105,23.0,53,9.3,1.9,1.9,4.3,0.004,0.0579999999999999,0.132,0.58,0.09,1,3,65
105,24.0,61,9.3,1.8,1.6,1.1,0.008,0.067,0.1639999999999999,0.578,0.0969999999999999,2,3,65
105,25.0,69,8.3,1.8,1.6,4.9,0.01,0.072,0.16,0.55,0.104,3,3,65
313,23.0,66,10.9,5.8,4.1,-4.2,0.04,0.184,0.207,0.524,0.2319999999999999,1,3,173
313,24.0,67,15.7,7.1,5.4,2.3,0.026,0.19,0.231,0.509,0.246,2,3,173
313,25.0,68,21.1,8.3,9.2,1.9,0.031,0.196,0.268,0.5329999999999999,0.3879999999999999,3,3,173
29,21.0,13,2.9,2.5,0.3,3.0,0.111,0.158,0.153,0.504,0.054,1,3,16
29,22.0,19,6.1,3.4,1.3,-9.1,0.061,0.128,0.156,0.547,0.11,2,3,16
29,23.0,7,14.7,12.0,2.4,-17.2,0.1119999999999999,0.228,0.184,0.536,0.113,3,3,16
177,24.0,34,6.1,2.1,1.5,-13.8,0.023,0.132,0.22,0.507,0.208,1,3,103
177,25.0,47,4.9,1.5,2.0,-4.4,0.012,0.0969999999999999,0.19,0.471,0.246,2,3,103
177,26.0,36,4.8,1.9,2.5,-6.3,0.0279999999999999,0.11,0.177,0.501,0.278,3,3,103
263,30.0,44,5.8,5.7,0.5,-0.7,0.075,0.241,0.179,0.473,0.0409999999999999,1,3,146
263,31.0,16,7.1,5.4,0.8,17.1,0.1369999999999999,0.282,0.183,0.735,0.083,2,3,146
263,32.0,67,6.3,5.8,0.7,3.5,0.1,0.251,0.1639999999999999,0.632,0.069,3,3,146
417,29.0,57,12.0,10.1,2.1,-10.1,0.126,0.207,0.181,0.54,0.106,1,3,229
417,30.0,54,7.6,8.1,1.2,1.0,0.124,0.212,0.144,0.54,0.073,2,3,229
417,31.0,57,6.0,5.1,0.6,-3.6,0.125,0.196,0.168,0.541,0.054,3,3,229
9,24.0,66,5.6,5.7,1.8,5.7,0.108,0.1939999999999999,0.125,0.612,0.126,1,3,4
9,25.0,69,8.6,7.9,1.9,3.2,0.114,0.173,0.13,0.612,0.096,2,3,4
9,26.0,68,13.5,9.3,2.8,3.4,0.125,0.184,0.182,0.613,0.131,3,3,4
248,27.0,71,9.5,5.7,1.6,6.5,0.066,0.113,0.128,0.595,0.073,1,3,138
248,28.0,60,9.8,5.4,1.7,5.1,0.052,0.1159999999999999,0.12,0.609,0.07,2,3,138
248,29.0,80,11.0,4.7,1.9,4.4,0.047,0.095,0.138,0.604,0.08,3,3,138
100,28.0,62,20.9,6.2,4.3,12.4,0.023,0.157,0.26,0.619,0.212,1,3,61
100,29.0,68,20.4,6.0,5.4,6.2,0.023,0.143,0.245,0.588,0.2269999999999999,2,3,61
100,30.0,66,20.1,5.4,5.4,5.4,0.019,0.136,0.255,0.5770000000000001,0.246,3,3,61
187,23.0,44,3.0,2.9,0.5,-6.0,0.162,0.184,0.155,0.6509999999999999,0.103,1,3,109
187,24.0,15,2.1,1.8,0.4,-0.5,0.0819999999999999,0.217,0.151,0.708,0.102,2,3,109
187,25.0,10,2.6,3.6,0.7,-16.1,0.127,0.2739999999999999,0.123,0.6409999999999999,0.13,3,3,109
508,20.0,9,1.2,1.6,0.1,-50.9,0.073,0.324,0.2,0.407,0.048,1,3,280
508,21.0,43,8.6,8.9,0.2,-18.3,0.143,0.238,0.157,0.5720000000000001,0.017,2,3,280
508,22.0,40,4.3,3.4,0.0,-6.2,0.11,0.257,0.1989999999999999,0.612,0.005,3,3,280
219,23.0,66,9.5,2.4,3.4,2.2,0.013,0.077,0.182,0.521,0.188,1,3,124
219,24.0,66,7.2,1.3,1.9,-0.2,0.012,0.06,0.1889999999999999,0.503,0.139,2,3,124
219,25.0,63,6.3,1.9,2.4,-1.4,0.023,0.092,0.182,0.544,0.223,3,3,124
214,28.0,66,15.0,4.3,2.9,-6.3,0.025,0.131,0.23,0.561,0.179,1,3,121
214,29.0,49,12.7,4.6,2.2,5.0,0.016,0.156,0.208,0.564,0.135,2,3,121
214,30.0,81,11.7,4.9,3.0,2.3,0.019,0.148,0.171,0.5589999999999999,0.158,3,3,121
173,23.0,58,8.9,4.7,4.0,-4.3,0.038,0.131,0.159,0.518,0.208,1,3,102
173,24.0,65,8.8,5.4,1.6,3.5,0.081,0.154,0.157,0.604,0.099,2,3,102
173,25.0,72,9.0,4.8,2.1,-0.3,0.0559999999999999,0.13,0.146,0.575,0.114,3,3,102
412,22.0,11,3.6,1.1,1.5,8.4,0.0,0.089,0.2319999999999999,0.381,0.195,1,3,225
412,23.0,26,3.8,0.8,2.4,-2.0,0.021,0.062,0.204,0.541,0.38,2,3,225
412,24.0,3,3.3,1.3,2.3,-17.1,0.0,0.077,0.15,0.357,0.179,3,3,225
247,28.0,69,10.3,2.5,1.1,3.2,0.018,0.098,0.186,0.62,0.081,1,3,137
247,29.0,66,13.6,3.3,1.3,-1.8,0.036,0.096,0.1939999999999999,0.635,0.075,2,3,137
247,30.0,51,11.3,2.3,1.3,-1.8,0.0139999999999999,0.076,0.178,0.593,0.068,3,3,137
461,21.0,61,28.8,9.4,8.8,5.3,0.036,0.2239999999999999,0.355,0.585,0.4539999999999999,1,3,254
461,22.0,66,27.7,8.0,8.6,3.9,0.024,0.2019999999999999,0.35,0.5870000000000001,0.425,2,3,254
461,23.0,65,28.4,9.1,8.7,3.5,0.025,0.23,0.368,0.5710000000000001,0.4579999999999999,3,3,254
478,22.0,62,5.4,4.9,0.7,0.5,0.099,0.216,0.163,0.542,0.077,1,3,261
478,23.0,46,8.0,5.8,0.8,-12.9,0.091,0.24,0.21,0.556,0.0819999999999999,2,3,261
478,24.0,71,10.6,8.1,1.2,-9.6,0.077,0.214,0.17,0.5820000000000001,0.073,3,3,261
140,21.0,57,8.8,2.1,2.4,-8.2,0.0069999999999999,0.087,0.2,0.4539999999999999,0.16,1,3,82
140,22.0,51,12.0,1.8,1.9,0.7,0.015,0.074,0.246,0.581,0.161,2,3,82
140,23.0,76,18.5,3.4,4.0,6.6,0.015,0.094,0.252,0.598,0.207,3,3,82
157,26.0,55,13.7,3.2,2.9,3.3,0.023,0.075,0.2,0.5329999999999999,0.138,1,3,92
157,27.0,59,12.1,3.3,2.6,-0.2,0.0279999999999999,0.079,0.181,0.537,0.123,2,3,92
157,28.0,65,10.2,2.8,1.8,4.5,0.026,0.087,0.171,0.573,0.105,3,3,92
167,28.0,70,22.2,4.2,4.4,0.5,0.017,0.09,0.257,0.541,0.185,1,3,98
167,29.0,47,23.1,3.9,4.7,6.2,0.018,0.099,0.265,0.5770000000000001,0.22,2,3,98
167,30.0,62,22.1,4.3,5.1,-1.9,0.024,0.1009999999999999,0.2689999999999999,0.5529999999999999,0.238,3,3,98
64,31.0,68,10.9,3.2,4.9,-3.9,0.015,0.103,0.186,0.509,0.266,1,3,38
64,32.0,44,6.7,3.4,3.9,2.3,0.022,0.131,0.155,0.473,0.242,2,3,38
64,33.0,65,6.3,2.2,3.8,-6.7,0.021,0.1,0.195,0.465,0.318,3,3,38
178,23.0,58,12.1,5.9,1.4,-0.1,0.067,0.177,0.18,0.6629999999999999,0.092,1,3,104
178,24.0,59,10.3,5.6,1.6,0.2,0.064,0.16,0.1669999999999999,0.56,0.094,2,3,104
178,25.0,64,10.4,5.3,1.3,7.5,0.099,0.148,0.171,0.66,0.1009999999999999,3,3,104
145,24.0,11,11.3,6.6,4.0,6.4,0.043,0.154,0.19,0.44,0.183,1,3,85
145,25.0,26,6.8,4.5,1.9,-6.1,0.032,0.187,0.212,0.395,0.14,2,3,85
145,26.0,48,5.7,4.2,1.8,2.1,0.06,0.177,0.178,0.479,0.155,3,3,85
199,22.0,37,3.3,1.3,0.6,-5.5,0.0139999999999999,0.107,0.171,0.444,0.111,1,3,115
199,23.0,31,4.0,0.8,0.5,-4.1,0.01,0.084,0.187,0.527,0.075,2,3,115
199,24.0,4,5.8,1.5,3.5,-5.9,0.022,0.044,0.179,0.3779999999999999,0.25,3,3,115
298,24.0,37,3.6,2.5,0.7,-6.3,0.031,0.181,0.175,0.475,0.104,1,3,164
298,25.0,35,5.2,3.2,0.7,-11.3,0.042,0.1989999999999999,0.195,0.511,0.088,2,3,164
298,26.0,4,7.5,4.0,1.3,-16.5,0.017,0.238,0.159,0.773,0.147,3,3,164
348,32.0,64,10.3,4.9,1.8,-6.2,0.054,0.145,0.192,0.521,0.113,1,3,196
348,33.0,68,12.1,6.2,4.3,4.1,0.105,0.154,0.216,0.578,0.253,2,3,196
348,34.0,52,6.2,4.0,2.0,-0.2,0.088,0.152,0.1689999999999999,0.5479999999999999,0.177,3,3,196
202,20.0,7,5.7,2.7,0.9,-9.8,0.057,0.171,0.206,0.617,0.103,1,3,117
202,21.0,32,2.2,0.8,0.2,-24.9,0.0,0.154,0.191,0.534,0.067,2,3,117
202,22.0,14,2.4,1.4,0.4,0.5,0.049,0.211,0.16,0.565,0.102,3,3,117
495,22.0,20,3.1,1.0,0.3,-6.9,0.017,0.113,0.152,0.584,0.043,1,3,271
495,23.0,14,2.4,0.8,0.4,-5.2,0.012,0.1639999999999999,0.176,0.645,0.154,2,3,271
495,24.0,5,4.2,1.6,2.0,-2.7,0.051,0.076,0.075,0.8690000000000001,0.172,3,3,271
154,24.0,48,6.0,4.1,0.8,-2.3,0.046,0.184,0.149,0.518,0.063,1,3,89
154,25.0,52,7.2,3.9,0.7,-4.9,0.047,0.177,0.1669999999999999,0.5489999999999999,0.055,2,3,89
154,26.0,40,3.3,2.5,0.5,0.5,0.063,0.155,0.133,0.542,0.064,3,3,89
38,20.0,67,17.8,3.9,7.3,-0.6,0.024,0.09,0.256,0.556,0.354,1,3,21
38,21.0,63,19.1,4.0,7.4,2.6,0.027,0.091,0.267,0.537,0.321,2,3,21
38,22.0,57,27.4,5.7,6.7,4.1,0.037,0.124,0.33,0.575,0.33,3,3,21
133,24.0,19,2.8,2.5,1.2,4.9,0.093,0.152,0.0969999999999999,0.713,0.161,1,3,79
133,25.0,43,4.3,3.0,1.1,2.1,0.057,0.161,0.124,0.608,0.111,2,3,79
133,26.0,72,4.8,4.6,1.5,2.7,0.059,0.182,0.0969999999999999,0.615,0.109,3,3,79
255,24.0,73,16.2,3.3,2.1,-0.3,0.03,0.076,0.247,0.51,0.104,1,3,142
255,25.0,67,17.2,2.9,2.3,4.5,0.026,0.069,0.256,0.515,0.1119999999999999,2,3,142
255,26.0,32,18.4,3.2,2.8,11.0,0.03,0.08,0.283,0.515,0.147,3,3,142
381,23.0,14,1.2,0.7,0.2,-6.0,0.109,0.119,0.177,0.507,0.086,1,3,212
381,24.0,41,2.1,1.2,0.3,-17.5,0.035,0.136,0.132,0.547,0.073,2,3,212
381,25.0,15,4.1,2.1,1.1,0.8,0.0409999999999999,0.133,0.131,0.657,0.139,3,3,212
371,23.0,40,9.4,2.2,2.6,0.1,0.018,0.093,0.186,0.617,0.182,1,3,209
371,24.0,63,13.0,2.3,3.1,4.3,0.022,0.076,0.239,0.5489999999999999,0.21,2,3,209
371,25.0,55,8.2,2.6,2.5,-1.0,0.025,0.094,0.174,0.517,0.178,3,3,209
331,25.0,52,5.1,3.5,1.0,2.4,0.037,0.168,0.162,0.486,0.094,1,3,186
331,26.0,51,8.2,4.4,1.4,-5.4,0.0289999999999999,0.147,0.133,0.597,0.088,2,3,186
331,27.0,49,3.3,3.0,0.7,2.3,0.039,0.187,0.124,0.495,0.078,3,3,186
